'Elapsed time','ECG'
'0:00.000',-0.053
'0:00.005',-0.103
'0:00.010',0.006
'0:00.015',0.058
'0:00.020',-0.064
'0:00.025',-0.066
'0:00.030',0.062
'0:00.035',-0.029
'0:00.040',-0.101
'0:00.045',0.048
'0:00.050',0.038
'0:00.055',-0.098
'0:00.060',-0.001
'0:00.065',0.079
'0:00.070',-0.066
'0:00.075',-0.054
'0:00.080',0.086
'0:00.085',-0.010
'0:00.090',-0.090
'0:00.095',0.055
'0:00.100',0.045
'0:00.105',-0.090
'0:00.110',0.010
'0:00.115',0.088
'0:00.120',-0.054
'0:00.125',-0.041
'0:00.130',0.094
'0:00.135',-0.005
'0:00.140',-0.085
'0:00.145',0.058
'0:00.150',0.049
'0:00.155',-0.086
'0:00.160',0.010
'0:00.165',0.092
'0:00.170',-0.052
'0:00.175',-0.043
'0:00.180',0.097
'0:00.185',0.001
'0:00.190',-0.079
'0:00.195',0.067
'0:00.200',0.059
'0:00.205',-0.076
'0:00.210',0.019
'0:00.215',0.095
'0:00.220',-0.050
'0:00.225',-0.041
'0:00.230',0.098
'0:00.235',0.003
'0:00.240',-0.076
'0:00.245',0.074
'0:00.250',0.063
'0:00.255',-0.086
'0:00.260',0.005
'0:00.265',0.092
'0:00.270',-0.050
'0:00.275',-0.044
'0:00.280',0.096
'0:00.285',0.003
'0:00.290',-0.080
'0:00.295',0.064
'0:00.300',0.058
'0:00.305',-0.081
'0:00.310',0.012
'0:00.315',0.095
'0:00.320',-0.050
'0:00.325',-0.042
'0:00.330',0.098
'0:00.335',0.002
'0:00.340',-0.083
'0:00.345',0.062
'0:00.350',0.058
'0:00.355',-0.080
'0:00.360',0.017
'0:00.365',0.103
'0:00.370',-0.049
'0:00.375',-0.052
'0:00.380',0.091
'0:00.385',0.002
'0:00.390',-0.083
'0:00.395',0.062
'0:00.400',0.061
'0:00.405',-0.078
'0:00.410',0.015
'0:00.415',0.100
'0:00.420',-0.043
'0:00.425',-0.037
'0:00.430',0.103
'0:00.435',0.009
'0:00.440',-0.078
'0:00.445',0.063
'0:00.450',0.058
'0:00.455',-0.084
'0:00.460',0.002
'0:00.465',0.084
'0:00.470',-0.057
'0:00.475',-0.048
'0:00.480',0.094
'0:00.485',0.001
'0:00.490',-0.086
'0:00.495',0.054
'0:00.500',0.053
'0:00.505',-0.084
'0:00.510',0.007
'0:00.515',0.093
'0:00.520',-0.048
'0:00.525',-0.047
'0:00.530',0.091
'0:00.535',-0.002
'0:00.540',-0.097
'0:00.545',0.038
'0:00.550',0.044
'0:00.555',-0.062
'0:00.560',0.099
'0:00.565',0.270
'0:00.570',0.188
'0:00.575',0.237
'0:00.580',0.361
'0:00.585',0.133
'0:00.590',-0.090
'0:00.595',-0.021
'0:00.600',-0.062
'0:00.605',-0.185
'0:00.610',-0.076
'0:00.615',0.004
'0:00.620',-0.135
'0:00.625',-0.130
'0:00.630',0.015
'0:00.635',-0.065
'0:00.640',-0.147
'0:00.645',-0.002
'0:00.650',0.003
'0:00.655',-0.134
'0:00.660',-0.045
'0:00.665',0.048
'0:00.670',-0.089
'0:00.675',-0.089
