'Elapsed time','ii'
'hh:mm:ss.mmm','mV'
'0:00.000',-0.229
'0:00.001',-0.234
'0:00.002',-0.234
'0:00.003',-0.229
'0:00.004',-0.227
'0:00.005',-0.233
'0:00.006',-0.236
'0:00.007',-0.234
'0:00.008',-0.233
'0:00.009',-0.235
'0:00.010',-0.231
'0:00.011',-0.228
'0:00.012',-0.226
'0:00.013',-0.230
'0:00.014',-0.233
'0:00.015',-0.221
'0:00.016',-0.213
'0:00.017',-0.213
'0:00.018',-0.209
'0:00.019',-0.208
'0:00.020',-0.211
'0:00.021',-0.214
'0:00.022',-0.216
'0:00.023',-0.203
'0:00.024',-0.210
'0:00.025',-0.226
'0:00.026',-0.223
'0:00.027',-0.220
'0:00.028',-0.207
'0:00.029',-0.203
'0:00.030',-0.202
'0:00.031',-0.199
'0:00.032',-0.222
'0:00.033',-0.237
'0:00.034',-0.229
'0:00.035',-0.218
'0:00.036',-0.213
'0:00.037',-0.233
'0:00.038',-0.232
'0:00.039',-0.215
'0:00.040',-0.214
'0:00.041',-0.216
'0:00.042',-0.209
'0:00.043',-0.207
'0:00.044',-0.225
'0:00.045',-0.226
'0:00.046',-0.227
'0:00.047',-0.219
'0:00.048',-0.220
'0:00.049',-0.238
'0:00.050',-0.238
'0:00.051',-0.229
'0:00.052',-0.226
'0:00.053',-0.228
'0:00.054',-0.233
'0:00.055',-0.229
'0:00.056',-0.220
'0:00.057',-0.223
'0:00.058',-0.228
'0:00.059',-0.226
'0:00.060',-0.227
'0:00.061',-0.231
'0:00.062',-0.235
'0:00.063',-0.240
'0:00.064',-0.244
'0:00.065',-0.242
'0:00.066',-0.245
'0:00.067',-0.249
'0:00.068',-0.252
'0:00.069',-0.253
'0:00.070',-0.254
'0:00.071',-0.243
'0:00.072',-0.236
'0:00.073',-0.262
'0:00.074',-0.275
'0:00.075',-0.267
'0:00.076',-0.260
'0:00.077',-0.260
'0:00.078',-0.261
'0:00.079',-0.259
'0:00.080',-0.263
'0:00.081',-0.266
'0:00.082',-0.270
'0:00.083',-0.275
'0:00.084',-0.282
'0:00.085',-0.285
'0:00.086',-0.289
'0:00.087',-0.284
'0:00.088',-0.287
'0:00.089',-0.299
'0:00.090',-0.309
'0:00.091',-0.297
'0:00.092',-0.272
'0:00.093',-0.297
'0:00.094',-0.323
'0:00.095',-0.324
'0:00.096',-0.316
'0:00.097',-0.311
'0:00.098',-0.322
'0:00.099',-0.323
'0:00.100',-0.321
'0:00.101',-0.320
'0:00.102',-0.330
'0:00.103',-0.338
'0:00.104',-0.343
'0:00.105',-0.362
'0:00.106',-0.360
'0:00.107',-0.357
'0:00.108',-0.365
'0:00.109',-0.365
'0:00.110',-0.367
'0:00.111',-0.362
'0:00.112',-0.368
'0:00.113',-0.381
'0:00.114',-0.382
'0:00.115',-0.386
'0:00.116',-0.374
'0:00.117',-0.366
'0:00.118',-0.385
'0:00.119',-0.389
'0:00.120',-0.395
'0:00.121',-0.401
'0:00.122',-0.400
'0:00.123',-0.405
'0:00.124',-0.413
'0:00.125',-0.418
'0:00.126',-0.414
'0:00.127',-0.419
'0:00.128',-0.428
'0:00.129',-0.428
'0:00.130',-0.434
'0:00.131',-0.441
'0:00.132',-0.448
'0:00.133',-0.450
'0:00.134',-0.444
'0:00.135',-0.446
'0:00.136',-0.448
'0:00.137',-0.450
'0:00.138',-0.447
'0:00.139',-0.443
'0:00.140',-0.445
'0:00.141',-0.451
'0:00.142',-0.458
'0:00.143',-0.452
'0:00.144',-0.448
'0:00.145',-0.452
'0:00.146',-0.458
'0:00.147',-0.457
'0:00.148',-0.453
'0:00.149',-0.453
'0:00.150',-0.441
'0:00.151',-0.440
'0:00.152',-0.442
'0:00.153',-0.447
'0:00.154',-0.438
'0:00.155',-0.423
'0:00.156',-0.421
'0:00.157',-0.439
'0:00.158',-0.476
'0:00.159',-0.480
'0:00.160',-0.461
'0:00.161',-0.439
'0:00.162',-0.461
'0:00.163',-0.481
'0:00.164',-0.467
'0:00.165',-0.467
'0:00.166',-0.465
'0:00.167',-0.459
'0:00.168',-0.461
'0:00.169',-0.466
'0:00.170',-0.460
'0:00.171',-0.457
'0:00.172',-0.459
'0:00.173',-0.455
'0:00.174',-0.445
'0:00.175',-0.455
'0:00.176',-0.458
'0:00.177',-0.447
'0:00.178',-0.455
'0:00.179',-0.451
'0:00.180',-0.450
'0:00.181',-0.451
'0:00.182',-0.450
'0:00.183',-0.448
'0:00.184',-0.434
'0:00.185',-0.440
'0:00.186',-0.452
'0:00.187',-0.450
'0:00.188',-0.447
'0:00.189',-0.443
'0:00.190',-0.435
'0:00.191',-0.432
'0:00.192',-0.433
'0:00.193',-0.438
'0:00.194',-0.431
'0:00.195',-0.426
'0:00.196',-0.430
'0:00.197',-0.423
'0:00.198',-0.414
'0:00.199',-0.415
'0:00.200',-0.421
'0:00.201',-0.422
'0:00.202',-0.421
'0:00.203',-0.421
'0:00.204',-0.422
'0:00.205',-0.420
'0:00.206',-0.417
'0:00.207',-0.407
'0:00.208',-0.396
'0:00.209',-0.389
'0:00.210',-0.391
'0:00.211',-0.406
'0:00.212',-0.400
'0:00.213',-0.396
'0:00.214',-0.381
'0:00.215',-0.360
'0:00.216',-0.377
'0:00.217',-0.391
'0:00.218',-0.387
'0:00.219',-0.376
'0:00.220',-0.375
'0:00.221',-0.375
'0:00.222',-0.377
'0:00.223',-0.379
'0:00.224',-0.373
'0:00.225',-0.377
'0:00.226',-0.379
'0:00.227',-0.376
'0:00.228',-0.374
'0:00.229',-0.374
'0:00.230',-0.368
'0:00.231',-0.362
'0:00.232',-0.362
'0:00.233',-0.362
'0:00.234',-0.345
'0:00.235',-0.335
'0:00.236',-0.348
'0:00.237',-0.343
'0:00.238',-0.332
'0:00.239',-0.337
'0:00.240',-0.344
'0:00.241',-0.347
'0:00.242',-0.352
'0:00.243',-0.347
'0:00.244',-0.341
'0:00.245',-0.344
'0:00.246',-0.341
'0:00.247',-0.337
'0:00.248',-0.322
'0:00.249',-0.318
'0:00.250',-0.327
'0:00.251',-0.341
'0:00.252',-0.347
'0:00.253',-0.335
'0:00.254',-0.327
'0:00.255',-0.330
'0:00.256',-0.338
'0:00.257',-0.342
'0:00.258',-0.338
'0:00.259',-0.330
'0:00.260',-0.332
